Źródło,Typ,Wartości żywieniowe na 100g żywności,Energia,Białko,Tłuszcz,Woda,Węglowodany,Wapń,Fosfor,Magnez,Sód,Potas,Chlor,Żelazo,Cynk,Miedź,Mangan,Jod,Selen,Tauryna,Vitamin A,Vitamin D ,Vitamin E ,Vitamin K ,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7 ,Vitamin B9,Vitamin B12,Vitamin C,Kwas linolowy,Kwas arachidonowy
dubarfst,kosci,Kurczak grzbiet (ze skórą i kośćmi),127,9,10,32,,1266,650,34,49,148,39,"0,69","0,67","0,12","0,01","0,44","3,94",0,"52,55",0,"0,22",,"0,03","0,08","3,21","0,44","0,17","0,99","3,94","0,15",,"1,29","37,97"
dubarfst,kosci,Kurczak pierś (ze skórą i kośćmi),127,18,6,60,,387,337,27,54,188,68,"0,77","0,68",0,0,0,0,0,"68,25",0,"0,64",,"0,05","0,08","11,59",0,"0,45",0,"3,42","0,26",,"1,13","31,6"
Judy's,kosci,Kurczak skrzydełka całe,222,18,12,68,,620,440,30,50,230,0,1,"1,7","0,2","0,1",0,"15,5",0,"146,52",0,"0,45",0,"0,05","0,09","5,93","0,77","0,35",0,0,"0,32",0,0,0
Judy's,kosci,Kurczak szyjka z kośćmi,154,16,7,72,,1500,840,50,90,200,0,1,"1,55","0,2","0,1",0,"13,5",0,"146,52",0,0,0,"0,05","0,23","4,12","1,09","0,29",0,0,"0,32",0,0,0
dubarfst,kosci,Kurczak udo ze skórą i kośćmi,127,15,7,58,,485,353,23,62,157,65,"1,47","1,3",0,0,0,0,0,"114,04",0,"0,61",,"0,05","0,12","7,12",0,"0,21",0,"5,71","0,24",,"1,39","38,32"
dubarfst,mieso,Baranina chuda,135,20,6,72,,8,190,23,78,380,0,"2,4","3,7","0,1","0,02",3,"0,4",0,"149,85",0,"0,64",,"0,16","0,22","8,37","0,55","0,29",1,2,3,,"0,14",0
Judy's,mieso,Baranina filety,113,20,3,75,,12,190,27,68,276,79,"1,91","3,19","0,13","0,02","0,7",0,0,0,0,"0,28",0,"0,13","0,23","6,51","0,66","0,17",0,24,2,0,"0,11",30
Judy's,mieso,Baranina gulasz,222,17,17,65,,16,165,21,63,241,75,"1,54","4,15","0,1","0,02","0,7",0,0,0,0,"0,33",0,"0,11","0,21","5,61","0,69","0,14",0,20,2,0,"0,46",49
Średnia,mieso,Baranina łopatka,255,17,21,61,,8,143,20,75,275,,"2,05","3,24","0,1","0,02",3,"0,4",,163,14,1,,"0,43","0,23","4,95","0,55","0,18",1,"2,5",3,"0,5","0,49",25
vuwi,mieso,Baranina tłusta,267,17,22,61,0,12,160,22,58,230,,"1,57","3,33","0,1","0,02",,"19,8",0,0,,"0,31",,"0,12","0,22","6,1","0,67","0,13",,,"2,39",0,,
