Źródło,Wartości żywieniowe na 100g żywności,Energia,Białko,Tłuszcz,Woda,Węglowodany,Wapń,Fosfor,Magnez,Sód,Potas,Chlor,Żelazo,Cynk,Miedź,Mangan,Jod,Selen,Tauryna,Vitamin A,Vitamin D ,Vitamin E ,Vitamin K ,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7 ,Vitamin B9,Vitamin B12,Vitamin C,Kwas linolowy,Kwas arachidonowy
średnia,Dorsz dziki,98,18,1,80,0,11,196,23,49,397,,"0,22","0,35","0,02",,"314,6","22,4",,35,104,1,,"0,05","0,05","2,02","0,19","0,14","1,7",12,"1,42",0,"0,07",15
średnia,Dorsz hodowlany,95,20,1,79,0,16,203,27,75,439,,"0,16","0,43","0,03",,300,25,,8,74,1,,"0,02","0,07","4,1","0,14","0,28",,11,1,0,,
średnia,Flądra,87,17,2,80,0,37,185,24,84,316,130,"0,36","0,59","0,03","0,03","19,1","25,3",,37,27,1,0,"0,17","0,18","3,57","0,64","0,23","1,2","11,56","1,31","0,5","0,02",35
średnia,Halibut biały,115,20,4,75,0,15,212,26,68,428,60,"0,39","0,4","0,11","0,01","24,4","29,42",,75,263,2,0,"0,07","0,07","5,75","0,32","0,44",4,"9,95","1,13",0,"0,08","73,6"
średnia,Krewetka surowa,75,16,1,80,1,45,163,28,316,153,0,"1,34","1,19","0,24","0,05","112,75","24,67",,11,6,5,0,"0,06","0,04","2,83","0,19","0,06",,"13,93","2,13","0,75","0,43",10
średnia,Łosoś dziki,196,19,13,66,0,16,234,27,55,367,83,"0,73","0,66","0,11","0,02","39,25","29,34",130,106,988,3,1,"0,21","0,16","7,03","1,25","0,86","6,2","19,11","4,45","0,62","0,49",195
średnia,Łosoś hodowlany,213,20,15,64,0,8,223,26,48,418,59,"0,34","0,45","0,04","0,05","22,3","26,8",,68,318,3,0,"0,21","0,1","7,58","1,32","0,47",4,8,"5,34","0,2","0,7",405
średnia,Okoń,84,19,1,79,0,46,241,28,49,319,60,"0,5","0,77","0,03","0,06","12,5","35,23",,33,621,2,0,"0,1","0,1","3,83","0,32","0,33",5,"9,23","3,05","0,66","0,01",15
średnia,Pstrąg strumieniowy,118,20,4,75,0,13,227,28,46,443,,"0,52","0,51","0,09","0,02","21,04","26,65",,146,388,1,0,"0,08","0,14","5,37","1,43","0,51","4,5","8,68","3,96","0,58","0,16","71,5"
średnia,Sola,81,17,1,81,0,27,222,32,106,319,140,"0,57","0,31","0,03","0,03","23,67","34,88",,2,320,1,0,"0,07","0,08","3,33","0,3","0,27","1,2","10,4","0,84","0,93","0,03","38,5"
średnia,Szczupak,84,19,1,79,0,38,228,29,60,372,0,"0,42","0,78","0,04","0,03",10,"15,79",,26,97,1,0,"0,07","0,06","2,57","0,52","0,17",5,"10,29","10,8","1,51","0,02",30
średnia,Tuńczyk,130,24,4,72,0,13,229,38,45,372,130,"1,24","0,62","0,11","0,02","29,85","73,08",200,1079,404,2,0,"0,16","0,14","10,94","0,71","0,57","2,15","10,69","4,9","0,33","0,05",60
średnia,Węgorz,323,16,29,55,0,30,248,19,68,240,,"0,68","2,16","0,05","0,02","46,38","38,6",,5202,1113,9,0,"0,12","0,26","2,7","0,18","0,29",,13,"3,6","0,93","0,87",430
